Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.584900,-0.324100,0.888560,0.603820,-0.244780,0.763210,0.707370,-0.242050,0.381530,0.344060,-0.245320,0.462780,0.243560,-0.235480,0.357890,0.585900,-0.431280,0.794100,0.736110,-0.395140,0.418210,0.591690,-0.342400,0.066270,0.717920,-0.358530,0.003690
2.000000,0.603550,-0.324020,0.888320,0.621870,-0.244290,0.763070,0.740450,-0.242340,0.385550,0.375160,-0.245150,0.456260,0.279020,-0.236180,0.348170,0.604620,-0.430960,0.793360,0.745460,-0.394970,0.414290,0.591870,-0.341570,0.066500,0.717500,-0.358570,0.003550
3.000000,0.622430,-0.323970,0.888560,0.640160,-0.243720,0.763470,0.773310,-0.242750,0.390490,0.406010,-0.245100,0.449150,0.314770,-0.236900,0.337620,0.623710,-0.430580,0.793000,0.753950,-0.394680,0.410460,0.591960,-0.340770,0.066790,0.717040,-0.358610,0.003450
4.000000,0.641560,-0.323970,0.889260,0.658690,-0.243060,0.764410,0.805860,-0.243260,0.396320,0.436640,-0.245170,0.441490,0.350860,-0.237620,0.326350,0.643170,-0.430150,0.792990,0.761670,-0.394280,0.406880,0.592000,-0.340010,0.067220,0.716550,-0.358630,0.003340
5.000000,0.660940,-0.324000,0.890400,0.677490,-0.242320,0.765850,0.838020,-0.243880,0.402970,0.467140,-0.245360,0.433320,0.387290,-0.238280,0.314440,0.662980,-0.429660,0.793330,0.768730,-0.393770,0.403680,0.592020,-0.339330,0.067880,0.716020,-0.358640,0.003220
6.000000,0.680580,-0.324060,0.891940,0.696560,-0.241490,0.767780,0.869690,-0.244590,0.410340,0.497550,-0.245670,0.424670,0.424120,-0.238850,0.301960,0.683120,-0.429090,0.793990,0.775200,-0.393170,0.400980,0.592090,-0.338750,0.068830,0.715470,-0.358630,0.003060
7.000000,0.700470,-0.324150,0.893850,0.715900,-0.240570,0.770160,0.900800,-0.245380,0.418340,0.527950,-0.246110,0.415580,0.461400,-0.239300,0.289020,0.703560,-0.428440,0.794950,0.781200,-0.392500,0.398880,0.592240,-0.338300,0.070130,0.714910,-0.358590,0.002860
8.000000,0.720610,-0.324250,0.896110,0.735490,-0.239550,0.772970,0.931280,-0.246240,0.426860,0.558400,-0.246660,0.406060,0.499200,-0.239630,0.275720,0.724290,-0.427690,0.796180,0.786820,-0.391790,0.397460,0.592540,-0.338010,0.071830,0.714350,-0.358530,0.002600
9.000000,0.741000,-0.324370,0.898690,0.755340,-0.238430,0.776180,0.961070,-0.247170,0.435770,0.588970,-0.247350,0.396110,0.537570,-0.239850,0.262170,0.745270,-0.426840,0.797640,0.792160,-0.391070,0.396770,0.593060,-0.337900,0.073990,0.713790,-0.358450,0.002310
10.000000,0.761620,-0.324490,0.901540,0.775410,-0.237200,0.779740,0.990130,-0.248140,0.444940,0.619740,-0.248170,0.385720,0.576570,-0.239960,0.248490,0.766470,-0.425870,0.799320,0.797350,-0.390400,0.396830,0.593880,-0.338000,0.076630,0.713240,-0.358360,0.001970
11.000000,0.782460,-0.324600,0.904630,0.795700,-0.235850,0.783640,1.018420,-0.249140,0.454250,0.650820,-0.249130,0.374890,0.616240,-0.240000,0.234800,0.787870,-0.424770,0.801170,0.802500,-0.389800,0.397640,0.595070,-0.338350,0.079770,0.712720,-0.358270,0.001600
12.000000,0.803500,-0.324680,0.907930,0.816160,-0.234390,0.787820,1.045910,-0.250160,0.463540,0.682280,-0.250240,0.363640,0.656600,-0.239990,0.221230,0.809450,-0.423540,0.803190,0.807730,-0.389300,0.399200,0.596710,-0.338980,0.083420,0.712240,-0.358200,0.001230
13.000000,0.824730,-0.324730,0.911400,0.836790,-0.232820,0.792240,1.072590,-0.251180,0.472710,0.714210,-0.251480,0.351990,0.697640,-0.239970,0.207880,0.831160,-0.422180,0.805330,0.813170,-0.388930,0.401470,0.598860,-0.339920,0.087590,0.711810,-0.358160,0.000880
14.000000,0.846120,-0.324730,0.915000,0.857560,-0.231140,0.796870,1.098480,-0.252180,0.481620,0.746680,-0.252830,0.339980,0.739360,-0.239960,0.194860,0.852970,-0.420680,0.807590,0.818950,-0.388700,0.404420,0.601600,-0.341180,0.092230,0.711450,-0.358160,0.000610
15.000000,0.867640,-0.324660,0.918700,0.878430,-0.229370,0.801650,1.123580,-0.253160,0.490160,0.779750,-0.254250,0.327690,0.781700,-0.240010,0.182280,0.874860,-0.419050,0.809930,0.825160,-0.388610,0.407990,0.604980,-0.342770,0.097340,0.711180,-0.358230,0.000460
16.000000,0.889280,-0.324530,0.922470,0.899400,-0.227530,0.806540,1.147940,-0.254100,0.498240,0.813430,-0.255710,0.315200,0.824630,-0.240150,0.170190,0.896790,-0.417320,0.812340,0.831910,-0.388650,0.412140,0.609040,-0.344700,0.102850,0.711040,-0.358360,0.000500
17.000000,0.911000,-0.324320,0.926260,0.920420,-0.225630,0.811480,1.171590,-0.255000,0.505780,0.847740,-0.257170,0.302590,0.868100,-0.240430,0.158680,0.918730,-0.415490,0.814790,0.839270,-0.388820,0.416770,0.613820,-0.346950,0.108740,0.711060,-0.358580,0.000800
18.000000,0.932770,-0.324050,0.930050,0.941490,-0.223690,0.816420,1.194570,-0.255850,0.512710,0.882650,-0.258590,0.289940,0.912050,-0.240890,0.147790,0.940640,-0.413590,0.817280,0.847320,-0.389080,0.421820,0.619340,-0.349490,0.114960,0.711290,-0.358890,0.001430
19.000000,0.954570,-0.323700,0.933810,0.962570,-0.221750,0.821330,1.216940,-0.256630,0.518970,0.918130,-0.259950,0.277350,0.956440,-0.241580,0.137580,0.962490,-0.411640,0.819780,0.856120,-0.389420,0.427190,0.625590,-0.352280,0.121470,0.711800,-0.359310,0.002470
20.000000,0.976380,-0.323300,0.937500,0.983640,-0.219840,0.826160,1.238730,-0.257350,0.524520,0.954130,-0.261230,0.264870,1.001210,-0.242530,0.128090,0.984250,-0.409700,0.822280,0.865710,-0.389820,0.432780,0.632540,-0.355290,0.128260,0.712630,-0.359860,0.003990
21.000000,0.998140,-0.322860,0.941120,1.004670,-0.217990,0.830850,1.259980,-0.257990,0.529330,0.990600,-0.262440,0.252570,1.046290,-0.243770,0.119370,1.005890,-0.407780,0.824760,0.876130,-0.390260,0.438490,0.640150,-0.358450,0.135310,0.713860,-0.360520,0.006080
22.000000,1.019850,-0.322390,0.944630,1.025650,-0.216220,0.835370,1.280730,-0.258550,0.533390,1.027490,-0.263570,0.240500,1.091630,-0.245330,0.111460,1.027390,-0.405930,0.827220,0.887420,-0.390700,0.444220,0.648380,-0.361680,0.142620,0.715530,-0.361320,0.008810
23.000000,1.041480,-0.321910,0.948010,1.046540,-0.214580,0.839680,1.301000,-0.259030,0.536670,1.064720,-0.264630,0.228720,1.137140,-0.247200,0.104410,1.048730,-0.404200,0.829650,0.899600,-0.391130,0.449870,0.657140,-0.364930,0.150200,0.717680,-0.362230,0.012270
24.000000,1.062990,-0.321440,0.951250,1.067330,-0.213090,0.843730,1.320800,-0.259420,0.539170,1.102230,-0.265650,0.217250,1.182730,-0.249390,0.098240,1.069900,-0.402610,0.832030,0.912700,-0.391530,0.455320,0.666360,-0.368110,0.158070,0.720350,-0.363260,0.016530
25.000000,1.084380,-0.321000,0.954320,1.088020,-0.211790,0.847490,1.340140,-0.259710,0.540880,1.139970,-0.266630,0.206150,1.228290,-0.251850,0.093010,1.090890,-0.401210,0.834360,0.926710,-0.391850,0.460480,0.675970,-0.371170,0.166240,0.723560,-0.364380,0.021650
26.000000,1.105620,-0.320600,0.957200,1.108590,-0.210680,0.850930,1.359020,-0.259910,0.541820,1.177840,-0.267600,0.195470,1.273700,-0.254570,0.088750,1.111710,-0.400010,0.836620,0.941650,-0.392100,0.465250,0.685870,-0.374090,0.174760,0.727320,-0.365590,0.027680
27.000000,1.126710,-0.320260,0.959880,1.129060,-0.209780,0.854010,1.377420,-0.260000,0.541990,1.215770,-0.268570,0.185270,1.318810,-0.257460,0.085470,1.132370,-0.399030,0.838780,0.957500,-0.392260,0.469560,0.696020,-0.376840,0.183650,0.731630,-0.366860,0.034640
28.000000,1.147620,-0.319980,0.962330,1.149410,-0.209090,0.856730,1.395340,-0.259980,0.541410,1.253650,-0.269540,0.175620,1.363470,-0.260470,0.083190,1.152880,-0.398280,0.840820,0.974260,-0.392310,0.473350,0.706370,-0.379420,0.192940,0.736490,-0.368200,0.042510
29.000000,1.168370,-0.319750,0.964540,1.169680,-0.208590,0.859070,1.412770,-0.259840,0.540100,1.291350,-0.270520,0.166570,1.407500,-0.263510,0.081910,1.173260,-0.397750,0.842730,0.991870,-0.392250,0.476580,0.716930,-0.381840,0.202660,0.741900,-0.369600,0.051230
30.000000,1.188950,-0.319590,0.966490,1.189870,-0.208280,0.861020,1.429720,-0.259580,0.538090,1.328750,-0.271510,0.158220,1.450730,-0.266500,0.081620,1.193530,-0.397420,0.844450,1.010310,-0.392070,0.479240,0.727720,-0.384120,0.212810,0.747850,-0.371050,0.060750
31.000000,1.209350,-0.319480,0.968150,1.210000,-0.208120,0.862580,1.446210,-0.259200,0.535440,1.365710,-0.272530,0.150620,1.492960,-0.269370,0.082260,1.213720,-0.397250,0.845970,1.029510,-0.391790,0.481320,0.738820,-0.386270,0.223400,0.754330,-0.372560,0.070960
32.000000,1.229600,-0.319420,0.969510,1.230070,-0.208090,0.863750,1.462270,-0.258700,0.532200,1.402070,-0.273580,0.143840,1.534010,-0.272050,0.083760,1.233840,-0.397230,0.847260,1.049430,-0.391410,0.482830,0.750340,-0.388300,0.234400,0.761350,-0.374140,0.081790
33.000000,1.249680,-0.319400,0.970560,1.250110,-0.208160,0.864550,1.477940,-0.258090,0.528450,1.437650,-0.274680,0.137930,1.573670,-0.274470,0.086030,1.253910,-0.397330,0.848300,1.070000,-0.390940,0.483780,0.762380,-0.390210,0.245780,0.768940,-0.375790,0.093140
34.000000,1.269620,-0.319420,0.971280,1.270100,-0.208310,0.864990,1.493300,-0.257370,0.524290,1.472260,-0.275810,0.132890,1.611790,-0.276620,0.088920,1.273930,-0.397500,0.849060,1.091180,-0.390400,0.484190,0.775050,-0.392000,0.257480,0.777130,-0.377520,0.104920
