Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.468100,-0.279830,0.883300,0.492220,-0.198150,0.760930,0.546000,-0.171760,0.366370,0.168710,-0.152960,0.395110,0.097430,-0.134080,0.275030,0.475050,-0.385500,0.786740,0.628970,-0.346720,0.411250,0.477900,-0.283990,0.063930,0.602480,-0.309800,0.002670
2.000000,0.482320,-0.280020,0.883630,0.505660,-0.197860,0.761370,0.570690,-0.171940,0.368140,0.193240,-0.152830,0.391180,0.124360,-0.134810,0.269780,0.489820,-0.385400,0.786640,0.635590,-0.346250,0.408210,0.478030,-0.283280,0.064050,0.602220,-0.309770,0.002520
3.000000,0.496690,-0.280220,0.884410,0.519180,-0.197530,0.762280,0.595320,-0.172300,0.370590,0.217700,-0.152860,0.386790,0.151650,-0.135760,0.263800,0.504770,-0.385260,0.786950,0.641610,-0.345700,0.405430,0.478100,-0.282640,0.064270,0.601940,-0.309740,0.002390
4.000000,0.511190,-0.280430,0.885610,0.532820,-0.197130,0.763640,0.619840,-0.172840,0.373700,0.242100,-0.153050,0.381950,0.179310,-0.136910,0.257150,0.519890,-0.385060,0.787640,0.647090,-0.345080,0.402980,0.478150,-0.282100,0.064640,0.601640,-0.309730,0.002280
5.000000,0.525850,-0.280640,0.887220,0.546590,-0.196670,0.765450,0.644200,-0.173540,0.377470,0.266450,-0.153410,0.376680,0.207350,-0.138230,0.249870,0.535190,-0.384790,0.788690,0.652090,-0.344390,0.400940,0.478180,-0.281680,0.065180,0.601330,-0.309720,0.002180
6.000000,0.540660,-0.280840,0.889200,0.560510,-0.196130,0.767670,0.668330,-0.174390,0.381860,0.290760,-0.153940,0.370980,0.235820,-0.139700,0.242030,0.550650,-0.384450,0.790060,0.656680,-0.343650,0.399350,0.478220,-0.281390,0.065950,0.601010,-0.309720,0.002070
7.000000,0.555630,-0.281040,0.891540,0.574580,-0.195520,0.770290,0.692210,-0.175380,0.386820,0.315060,-0.154630,0.364850,0.264720,-0.141300,0.233680,0.566250,-0.384020,0.791740,0.660900,-0.342890,0.398240,0.478290,-0.281260,0.066980,0.600680,-0.309730,0.001950
8.000000,0.570740,-0.281220,0.894190,0.588820,-0.194820,0.773290,0.715780,-0.176470,0.392310,0.339380,-0.155490,0.358300,0.294090,-0.143000,0.224910,0.581990,-0.383500,0.793670,0.664820,-0.342130,0.397640,0.478430,-0.281290,0.068310,0.600350,-0.309750,0.001810
9.000000,0.586020,-0.281380,0.897150,0.603210,-0.194030,0.776640,0.739000,-0.177660,0.398250,0.363750,-0.156490,0.351330,0.323950,-0.144780,0.215780,0.597850,-0.382870,0.795850,0.668500,-0.341400,0.397540,0.478680,-0.281500,0.069950,0.600010,-0.309780,0.001660
10.000000,0.601430,-0.281510,0.900370,0.617750,-0.193140,0.780310,0.761850,-0.178930,0.404600,0.388210,-0.157650,0.343920,0.354320,-0.146600,0.206370,0.613810,-0.382150,0.798240,0.672020,-0.340730,0.397970,0.479080,-0.281910,0.071940,0.599680,-0.309820,0.001490
11.000000,0.617000,-0.281600,0.903830,0.632440,-0.192150,0.784280,0.784280,-0.180240,0.411270,0.412810,-0.158950,0.336100,0.385220,-0.148440,0.196760,0.629860,-0.381310,0.800810,0.675460,-0.340140,0.398900,0.479680,-0.282530,0.074290,0.599360,-0.309880,0.001290
