Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.515250,-0.250760,0.903300,0.541720,-0.173800,0.777670,0.516890,-0.174750,0.376440,0.141770,-0.158040,0.435590,0.053840,-0.142060,0.325090,0.515200,-0.358870,0.810900,0.700090,-0.329780,0.443660,0.661130,-0.278910,0.063700,0.795400,-0.295940,0.016380
2.000000,0.530710,-0.250600,0.899250,0.557740,-0.174270,0.773350,0.543700,-0.173960,0.372820,0.170190,-0.157570,0.436720,0.080970,-0.140910,0.327110,0.530480,-0.359110,0.807330,0.716610,-0.329600,0.441420,0.663490,-0.277830,0.063500,0.796180,-0.295300,0.013000
3.000000,0.546170,-0.250460,0.895520,0.573560,-0.174670,0.769380,0.570840,-0.173260,0.369800,0.198740,-0.157100,0.437230,0.108630,-0.139920,0.328150,0.545800,-0.359320,0.803970,0.732430,-0.329470,0.439030,0.665420,-0.276830,0.063560,0.796670,-0.294790,0.010340
4.000000,0.561670,-0.250350,0.892140,0.589200,-0.174990,0.765810,0.598290,-0.172660,0.367420,0.227330,-0.156650,0.437130,0.136750,-0.139070,0.328220,0.561200,-0.359510,0.800870,0.747390,-0.329380,0.436440,0.667000,-0.275890,0.063750,0.796940,-0.294420,0.008300
5.000000,0.577230,-0.250250,0.889170,0.604720,-0.175210,0.762690,0.626000,-0.172160,0.365710,0.255910,-0.156210,0.436410,0.165290,-0.138360,0.327310,0.576720,-0.359680,0.798050,0.761370,-0.329330,0.433570,0.668290,-0.274980,0.063970,0.797040,-0.294140,0.006770
6.000000,0.592880,-0.250190,0.886640,0.620160,-0.175350,0.760040,0.653950,-0.171750,0.364690,0.284410,-0.155830,0.435090,0.194220,-0.137780,0.325460,0.592400,-0.359810,0.795560,0.774310,-0.329300,0.430420,0.669330,-0.274080,0.064170,0.797010,-0.293950,0.005650
7.000000,0.608650,-0.250150,0.884570,0.635570,-0.175380,0.757890,0.682070,-0.171440,0.364400,0.312790,-0.155520,0.433180,0.223510,-0.137330,0.322700,0.608270,-0.359920,0.793400,0.786190,-0.329280,0.427000,0.670140,-0.273180,0.064290,0.796890,-0.293830,0.004840
8.000000,0.624550,-0.250130,0.882970,0.650980,-0.175310,0.756260,0.710330,-0.171230,0.364840,0.341000,-0.155310,0.430670,0.253140,-0.137010,0.319080,0.624340,-0.359980,0.791610,0.797050,-0.329230,0.423350,0.670750,-0.272290,0.064330,0.796690,-0.293770,0.004260
9.000000,0.640600,-0.250140,0.881850,0.666430,-0.175140,0.755150,0.738660,-0.171120,0.366030,0.369020,-0.155180,0.427610,0.283090,-0.136840,0.314670,0.640630,-0.359990,0.790180,0.806950,-0.329130,0.419570,0.671170,-0.271420,0.064330,0.796460,-0.293740,0.003850
10.000000,0.656820,-0.250180,0.881200,0.681970,-0.174880,0.754560,0.767000,-0.171110,0.368000,0.396840,-0.155140,0.424030,0.313340,-0.136810,0.309500,0.657160,-0.359940,0.789130,0.815990,-0.328970,0.415750,0.671450,-0.270590,0.064320,0.796190,-0.293730,0.003560
11.000000,0.673210,-0.250240,0.881030,0.697630,-0.174510,0.754480,0.795280,-0.171190,0.370740,0.424440,-0.155160,0.419950,0.343880,-0.136890,0.303630,0.673910,-0.359830,0.788460,0.824280,-0.328720,0.412010,0.671610,-0.269800,0.064360,0.795900,-0.293740,0.003340
12.000000,0.689800,-0.250320,0.881310,0.713430,-0.174040,0.754900,0.823440,-0.171350,0.374250,0.451840,-0.155240,0.415410,0.374700,-0.137030,0.297070,0.690890,-0.359630,0.788150,0.831890,-0.328380,0.408430,0.671700,-0.269060,0.064500,0.795600,-0.293750,0.003170
13.000000,0.706580,-0.250420,0.882030,0.729400,-0.173470,0.755810,0.851410,-0.171590,0.378500,0.479040,-0.155380,0.410420,0.405780,-0.137210,0.289840,0.708090,-0.359360,0.788210,0.838910,-0.327950,0.405140,0.671740,-0.268400,0.064790,0.795290,-0.293760,0.003030
14.000000,0.723560,-0.250530,0.883170,0.745560,-0.172800,0.757200,0.879140,-0.171900,0.383460,0.506080,-0.155560,0.405010,0.437140,-0.137380,0.282000,0.725500,-0.359000,0.788610,0.845390,-0.327420,0.402200,0.671770,-0.267830,0.065290,0.794970,-0.293770,0.002890
15.000000,0.740740,-0.250650,0.884710,0.761930,-0.172030,0.759030,0.906580,-0.172270,0.389090,0.532970,-0.155800,0.399180,0.468820,-0.137540,0.273580,0.743110,-0.358540,0.789330,0.851410,-0.326800,0.399700,0.671820,-0.267340,0.066020,0.794650,-0.293780,0.002760
16.000000,0.758130,-0.250780,0.886620,0.778520,-0.171160,0.761300,0.933660,-0.172690,0.395320,0.559760,-0.156100,0.392940,0.500860,-0.137670,0.264650,0.760910,-0.357990,0.790360,0.857010,-0.326100,0.397670,0.671930,-0.266960,0.067040,0.794330,-0.293780,0.002610
17.000000,0.775720,-0.250910,0.888880,0.795340,-0.170190,0.763990,0.960340,-0.173170,0.402080,0.586480,-0.156470,0.386290,0.533290,-0.137780,0.255270,0.778880,-0.357330,0.791660,0.862250,-0.325350,0.396170,0.672120,-0.266690,0.068360,0.793990,-0.293770,0.002430
18.000000,0.793510,-0.251030,0.891450,0.812380,-0.169120,0.767060,0.986580,-0.173680,0.409280,0.613180,-0.156940,0.379240,0.566160,-0.137870,0.245520,0.797020,-0.356580,0.793210,0.867180,-0.324570,0.395210,0.672440,-0.266560,0.070020,0.793650,-0.293760,0.002240
19.000000,0.811490,-0.251150,0.894320,0.829640,-0.167940,0.770490,1.012330,-0.174230,0.416820,0.639920,-0.157510,0.371740,0.599500,-0.137960,0.235480,0.815300,-0.355710,0.794980,0.871900,-0.323790,0.394800,0.672940,-0.266580,0.072040,0.793300,-0.293740,0.002010
