Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.598510,-0.294580,0.915040,0.611050,-0.216370,0.789530,0.504400,-0.229030,0.398170,0.148050,-0.215450,0.529150,0.017080,-0.218950,0.465110,0.598920,-0.403020,0.822330,0.782900,-0.378920,0.455660,0.835750,-0.334030,0.075310,0.977290,-0.347830,0.046860
2.000000,0.621400,-0.294190,0.911030,0.635800,-0.216720,0.784930,0.541300,-0.227420,0.391890,0.189450,-0.215130,0.531900,0.056590,-0.217690,0.471010,0.621270,-0.403020,0.818730,0.805830,-0.378530,0.453400,0.843160,-0.331470,0.071590,0.982380,-0.346300,0.038030
3.000000,0.644200,-0.293820,0.907130,0.660230,-0.217080,0.780490,0.578910,-0.225740,0.386100,0.231020,-0.214840,0.533360,0.096700,-0.216540,0.474950,0.643300,-0.402990,0.815260,0.828530,-0.378140,0.451120,0.849080,-0.329030,0.068610,0.986120,-0.344870,0.030220
4.000000,0.666930,-0.293500,0.903440,0.684310,-0.217420,0.776300,0.617220,-0.224040,0.380920,0.272610,-0.214600,0.533570,0.137240,-0.215510,0.476940,0.665050,-0.402940,0.811960,0.850910,-0.377780,0.448870,0.853700,-0.326840,0.066470,0.988750,-0.343580,0.023600
5.000000,0.689610,-0.293250,0.900020,0.708050,-0.217750,0.772440,0.656220,-0.222370,0.376470,0.314110,-0.214400,0.532610,0.178090,-0.214570,0.476950,0.686590,-0.402880,0.808910,0.872850,-0.377470,0.446630,0.857200,-0.324970,0.065170,0.990460,-0.342490,0.018190
6.000000,0.712300,-0.293070,0.896940,0.731470,-0.218070,0.768990,0.695890,-0.220760,0.372860,0.355390,-0.214260,0.530520,0.219130,-0.213730,0.475010,0.707980,-0.402810,0.806160,0.894200,-0.377210,0.444370,0.859800,-0.323460,0.064630,0.991460,-0.341620,0.013920
7.000000,0.735050,-0.292980,0.894250,0.754620,-0.218360,0.766000,0.736160,-0.219250,0.370200,0.396350,-0.214180,0.527390,0.260260,-0.212960,0.471130,0.729320,-0.402740,0.803740,0.914760,-0.377010,0.441990,0.861720,-0.322280,0.064670,0.991920,-0.340970,0.010650
8.000000,0.757900,-0.292980,0.891990,0.777590,-0.218590,0.763520,0.776970,-0.217880,0.368580,0.436910,-0.214160,0.523270,0.301440,-0.212250,0.465380,0.750720,-0.402670,0.801670,0.934320,-0.376860,0.439360,0.863120,-0.321340,0.065100,0.991990,-0.340530,0.008230
9.000000,0.780910,-0.293070,0.890170,0.800480,-0.218760,0.761570,0.818230,-0.216660,0.368060,0.476990,-0.214210,0.518230,0.342680,-0.211610,0.457810,0.772310,-0.402590,0.799940,0.952680,-0.376740,0.436370,0.864160,-0.320530,0.065740,0.991780,-0.340260,0.006500
10.000000,0.804100,-0.293230,0.888810,0.823390,-0.218830,0.760170,0.859850,-0.215600,0.368680,0.516580,-0.214320,0.512340,0.384000,-0.211050,0.448520,0.794210,-0.402510,0.798530,0.969690,-0.376650,0.432920,0.864900,-0.319770,0.066400,0.991380,-0.340140,0.005310
11.000000,0.827530,-0.293450,0.887910,0.846430,-0.218800,0.759320,0.901690,-0.214730,0.370490,0.555660,-0.214500,0.505660,0.425480,-0.210580,0.437640,0.816510,-0.402410,0.797430,0.985260,-0.376530,0.428990,0.865420,-0.319010,0.067010,0.990850,-0.340120,0.004520
12.000000,0.851200,-0.293720,0.887440,0.869670,-0.218650,0.759000,0.943650,-0.214050,0.373470,0.594270,-0.214760,0.498240,0.467180,-0.210210,0.425310,0.839320,-0.402290,0.796610,0.999370,-0.376360,0.424640,0.865750,-0.318210,0.067530,0.990250,-0.340170,0.004000
13.000000,0.875140,-0.294020,0.887410,0.893180,-0.218370,0.759190,0.985590,-0.213550,0.377620,0.632470,-0.215110,0.490140,0.509180,-0.209960,0.411690,0.862680,-0.402150,0.796040,1.012080,-0.376100,0.420000,0.865940,-0.317390,0.067990,0.989590,-0.340260,0.003670
14.000000,0.899370,-0.294330,0.887780,0.917000,-0.217960,0.759870,1.027380,-0.213240,0.382890,0.670350,-0.215550,0.481410,0.551580,-0.209810,0.396930,0.886650,-0.401960,0.795710,1.023480,-0.375720,0.415250,0.866040,-0.316550,0.068470,0.988910,-0.340360,0.003430
15.000000,0.923900,-0.294640,0.888540,0.941160,-0.217410,0.761020,1.068870,-0.213110,0.389240,0.707980,-0.216080,0.472090,0.594460,-0.209780,0.381230,0.911230,-0.401720,0.795600,1.033700,-0.375220,0.410600,0.866110,-0.315740,0.069070,0.988200,-0.340450,0.003230
16.000000,0.948750,-0.294950,0.889670,0.965670,-0.216710,0.762610,1.109950,-0.213160,0.396580,0.745460,-0.216680,0.462210,0.637900,-0.209860,0.364760,0.936410,-0.401400,0.795700,1.042880,-0.374590,0.406290,0.866200,-0.314990,0.069900,0.987480,-0.340520,0.003020
17.000000,0.973900,-0.295240,0.891140,0.990520,-0.215860,0.764620,1.150500,-0.213370,0.404820,0.782900,-0.217350,0.451800,0.681990,-0.210030,0.347670,0.962160,-0.400990,0.796000,1.051170,-0.373850,0.402540,0.866370,-0.314340,0.071060,0.986760,-0.340550,0.002780
