body_name,parent_body,joint_name,joint_type,joint_axis,range_min,range_max,pos_x,pos_y,pos_z,is_path_point,meshes
pelvis,world,pelvis_tx,slide,1.0 -0.0 0.0,-5.0,5.0,0.0,-0.0,0.0,False,Geometry/sacrum.stl;Geometry/pelvis.stl;Geometry/l_pelvis.stl
pelvis,world,pelvis_ty,slide,0.0 -0.0 1.0,-1.0,2.0,0.0,-0.0,0.0,False,Geometry/sacrum.stl;Geometry/pelvis.stl;Geometry/l_pelvis.stl
pelvis,world,pelvis_tz,slide,0.0 -1.0 0.0,-3.0,3.0,0.0,-0.0,0.0,False,Geometry/sacrum.stl;Geometry/pelvis.stl;Geometry/l_pelvis.stl
pelvis,world,pelvis_tilt,hinge,0.0 -1.0 0.0,-1.571,1.571,0.0,-0.0,0.0,False,Geometry/sacrum.stl;Geometry/pelvis.stl;Geometry/l_pelvis.stl
pelvis,world,pelvis_list,hinge,1.0 -0.0 0.0,-1.571,1.571,0.0,-0.0,0.0,False,Geometry/sacrum.stl;Geometry/pelvis.stl;Geometry/l_pelvis.stl
pelvis,world,pelvis_rotation,hinge,0.0 -0.0 1.0,-1.571,1.571,0.0,-0.0,0.0,False,Geometry/sacrum.stl;Geometry/pelvis.stl;Geometry/l_pelvis.stl
femur_r,pelvis,hip_flexion_r,hinge,0.0 -1.0 0.0,-2.094,2.094,-0.0707,-0.0835,-0.0661,False,Geometry/femur_r.stl
femur_r,pelvis,hip_adduction_r,hinge,1.0 -0.0 0.0,-2.094,2.094,-0.0707,-0.0835,-0.0661,False,Geometry/femur_r.stl
femur_r,pelvis,hip_rotation_r,hinge,0.0 -0.0 1.0,-2.094,2.094,-0.0707,-0.0835,-0.0661,False,Geometry/femur_r.stl
tibia_r,femur_r,knee_r_translation1,slide,1.0 -0.0 0.0,-0.005574,0.00411,0.0,-0.0,0.0,False,Geometry/tibia_r.stl;Geometry/fibula.stl
tibia_r,femur_r,knee_r_translation2,slide,0.0 -0.0 1.0,-0.4226,-0.3953,0.0,-0.0,0.0,False,Geometry/tibia_r.stl;Geometry/fibula.stl
tibia_r,femur_r,knee_angle_r,hinge,0.0 -1.0 0.0,-2.094,0.1745,0.0,-0.0,0.0,False,Geometry/tibia_r.stl;Geometry/fibula.stl
talus_r,tibia_r,ankle_angle_r,hinge,-0.105 -0.9791 -0.174,-1.571,1.571,0.0,-0.0,-0.43,False,Geometry/talus.stl
calcn_r,talus_r,subtalar_angle_r,hinge,0.7872 0.1209 0.6047,-1.571,1.571,-0.04877,-0.00792,-0.04195,False,Geometry/foot.stl
toes_r,calcn_r,mtp_angle_r,hinge,-0.581 -0.8139 0.0,-1.571,1.571,0.1788,-0.00108,-0.002,False,Geometry/bofoot.stl
grac_r_grac_r-P2,tibia_r,grac_r_grac_r-P2_x,slide,1.0 -0.0 0.0,-0.02657,-0.01943,0.0,-0.0,0.0,True,
grac_r_grac_r-P2,tibia_r,grac_r_grac_r-P2_y,slide,0.0 -0.0 1.0,-0.05153,-0.0319,0.0,-0.0,0.0,True,
grac_r_grac_r-P2,tibia_r,grac_r_grac_r-P2_z,slide,0.0 -1.0 0.0,-0.03774,-0.0358,0.0,-0.0,0.0,True,
rect_fem_r_rect_fem_r-P3,tibia_r,rect_fem_r_rect_fem_r-P3_x,slide,1.0 -0.0 0.0,0.01558,0.0733,0.0,-0.001399,0.0,True,
rect_fem_r_rect_fem_r-P3,tibia_r,rect_fem_r_rect_fem_r-P3_y,slide,0.0 -0.0 1.0,-0.06738,0.02531,0.0,-0.001399,0.0,True,
vas_int_r_vas_int_r-P4,tibia_r,vas_int_r_vas_int_r-P4_x,slide,1.0 -0.0 0.0,0.008273,0.06844,0.0,-0.001799,0.0,True,
vas_int_r_vas_int_r-P4,tibia_r,vas_int_r_vas_int_r-P4_y,slide,0.0 -0.0 1.0,-0.06857,0.02752,0.0,-0.001799,0.0,True,
vas_int_r_vas_int_r-P3,femur_r,vas_int_r_vas_int_r-P3_y,slide,0.0 -0.0 1.0,-0.403,-0.2084,0.0335,-0.0,0.0,True,
vas_int_r_vas_int_r-P3,femur_r,vas_int_r_vas_int_r-P3_z,slide,0.0 -1.0 0.0,0.0055,0.0285,0.0335,-0.0,0.0,True,
med_gas_r_med_gas_r-P2,femur_r,med_gas_r_med_gas_r-P2_x,slide,1.0 -0.0 0.0,-0.03,-0.019,0.0,-0.0,0.0,True,
med_gas_r_med_gas_r-P2,femur_r,med_gas_r_med_gas_r-P2_y,slide,0.0 -0.0 1.0,-0.4022,-0.3929,0.0,-0.0,0.0,True,
med_gas_r_med_gas_r-P2,femur_r,med_gas_r_med_gas_r-P2_z,slide,0.0 -1.0 0.0,-0.0258,-0.0235,0.0,-0.0,0.0,True,
femur_l,pelvis,hip_flexion_l,hinge,0.0 -1.0 0.0,-2.094,2.094,-0.0707,0.0835,-0.0661,False,Geometry/femur_l.stl
femur_l,pelvis,hip_adduction_l,hinge,-1.0 -0.0 0.0,-2.094,2.094,-0.0707,0.0835,-0.0661,False,Geometry/femur_l.stl
femur_l,pelvis,hip_rotation_l,hinge,0.0 -0.0 -1.0,-2.094,2.094,-0.0707,0.0835,-0.0661,False,Geometry/femur_l.stl
tibia_l,femur_l,knee_l_translation1,slide,1.0 -0.0 0.0,-0.005574,0.00411,0.0,-0.0,0.0,False,Geometry/tibia_l.stl;Geometry/l_fibula.stl
tibia_l,femur_l,knee_l_translation2,slide,0.0 -0.0 1.0,-0.4226,-0.3953,0.0,-0.0,0.0,False,Geometry/tibia_l.stl;Geometry/l_fibula.stl
tibia_l,femur_l,knee_angle_l,hinge,0.0 -1.0 0.0,-2.094,0.1745,0.0,-0.0,0.0,False,Geometry/tibia_l.stl;Geometry/l_fibula.stl
talus_l,tibia_l,ankle_angle_l,hinge,0.105 -0.9791 0.174,-1.571,1.571,0.0,-0.0,-0.43,False,Geometry/l_talus.stl
calcn_l,talus_l,subtalar_angle_l,hinge,-0.7872 0.1209 -0.6047,-1.571,1.571,-0.04877,0.00792,-0.04195,False,Geometry/l_foot.stl
toes_l,calcn_l,mtp_angle_l,hinge,0.581 -0.8139 0.0,-1.571,1.571,0.1788,0.00108,-0.002,False,Geometry/l_bofoot.stl
grac_l_grac_l-P2,tibia_l,grac_l_grac_l-P2_x,slide,1.0 -0.0 0.0,-0.02657,-0.01943,0.0,-0.0,0.0,True,
grac_l_grac_l-P2,tibia_l,grac_l_grac_l-P2_y,slide,0.0 -0.0 1.0,-0.05153,-0.0319,0.0,-0.0,0.0,True,
grac_l_grac_l-P2,tibia_l,grac_l_grac_l-P2_z,slide,0.0 -1.0 0.0,0.0358,0.03774,0.0,-0.0,0.0,True,
rect_fem_l_rect_fem_l-P3,tibia_l,rect_fem_l_rect_fem_l-P3_x,slide,1.0 -0.0 0.0,0.01558,0.0733,0.0,0.001401,0.0,True,
